dominio,ocorrencias
SIMÃO PEDRA,25
MARIA,24
JUDAS,20
ELEAZAR,19
CLAUDIA,19
JOÃO,19
GAMALIEL,18
MARTHA,16
SIMÃO,16
BENJAMIM,16
MATHEUS,12
JOSUÉ,9
PONCIO,8
GEDA,5
O OSTIARIO,4
HANAN,4
AMPÍO,4
O quê?,3
Chiméras, illusões...,3
A MULHER,3
This eBook is for the use of anyone anywhere at no cost and with,2
almost no restrictions whatsoever.  You may copy it, give it away or,2
re-use it under the terms of the Project Gutenberg License included,2
with this eBook or online at www.gutenberg.org,2
Produced by Pedro Saborano and the Online Distributed,2
Proofreading Team at https://www.pgdp.net (This book was,2
produced from scanned images of public domain material,2
from the Google Print project.),2
PRIMEIRA JORNADA,2
EM 8 DE NISAN,2
Como tu não ha nenhuma!,2
Muito bem!,2
Perfeitamente.,2
Porquê?,2
SEGUNDA JORNADA,2
EM 9 DE _NISAN_,2
Eu?,2
Maria!,2
Não.,2
TERCEIRA JORNADA,2
EM 13 DE _NISAN_,2
CLAUDIA adormecida, vagamente:,2
QUARTA JORNADA,2
EM 15 DE _NISAN_,2
Judas!,2
P'ra nunca mais se juntar...,2
MARIA animando-se:,2
Orvalhar co'o vosso pranto,2
A boceta em que dormita,2
Aquelle celeste encanto.,2
Ide colher á campina,2
Braçados de malmequeres,,2
Title: Judas,1
Romance lirico em quatro jornadas,1
Author: Augusto de Lacerda,1
Release Date: November 16, 2008 [EBook #27276],1
Language: Portuguese,1
*** START OF THIS PROJECT GUTENBERG EBOOK JUDAS ***,1
DO MESMO AUCTOR,1
Theatro:,1
_A Flôr dos Trigaes_, comedia original em um acto, em verso--Theatro de,1
D. Maria II.,1
_Aspasia_, drama original em quatro actos--Idem.,1
_Samuel_, idem--Idem.,1
_A Tesoura_, monologo--Idem.,1
_A Charada_, sainete original--Theatro do Gymnasio.,1
_Casados-Solteiros_, comedia original em tres actos--Idem.,1
_O Vicio_, peça original em cinco actos--Theatro do Principe Real.,1
Em livro--Edições esgotadas:,1
_Religião do Amor_, versos.,1
_O Padre_, romance intimo.,1
_A Pança_, contos.,1
_A Lei da Exauctoração Militar_, poemeto.,1
_Cyrilleida_, analyse de uma critica á «Velhice do Padre Eterno.»,1
_Juizo Final_--Evangelho da Consciencia.,1
A entrar no prélo:,1
_O Rabbi da Galiléa_--(Vida de Jesus)--Romance.,1
_Juizo Final_--Evangelho da Consciencia--2.ª edição.,1
Em preparação:,1
_Consciencia Libertada_--Evangelho do Futuro.,1
_Lendas de Israel._,1
Augusto de Lacerda,1
ROMANCE LIRICO,1
EM,1
_QUATRO JORNADAS_,1
LISBOA,1
Antiga Casa Bertrand--JOSÉ BASTOS,1
_73, Rua Garrett, 75_,1
1901,1
_Exemplar n.º_ 461,1
Todos os direitos d'este livro são propriedade exclusiva e reservada do,1
seu auctor.,1
Ao Dr. Manoel Maria Bordallo Pinheiro,1
_Il n'y a guère de détails certains en histoire; les détails,1
cependant ont toujours quelque signification. Le talent de,1
l'historien consiste à faire un ensemble vrai avec des traits qui ne,1
sont vrais qu'à demi._,1
Ernest Renan--Vie de Jésus,1
A aldeia de Bethania fica a hora e meia de Jerusalem. Sobre a collina em,1
que ella assenta ergue-se, modesta e affastada das outras habitações, a,1
casa de Simão, o _Leproso_. Tem esta a forma tipica de uma piramide,1
rectangular truncada, e na parte superior um terraço onde florescem nos,1
canteiros roseiras de Jerichó.,1
Em frente da porta, ladeada de duas janellas a deseguaes alturas, um,1
pequeno largo coberto pela enorme abobada de verdura de grossas arvores,1
seculares, coevas talvez dos ultimos grandes profetas.,1
A agua de uma fonte visinha, jorrando natural da fenda de um rochedo, cae,1
sobre uma pia ampla, de architectura romana, espalhando no ambiente notas,1
cristallinas, e fazendo-nos pensar na Samaritana da lenda...,1
Um tronco de arvore carcomido pelo tempo e tombado no solo convida ao,1
descanso e á meditação.,1
Uma longa estrada, aberta pelo rodar dos carriões, vae desde ali serpeando,1
por entre o matto, ora subindo, ora descendo, em curvas graciosas, até que,1
chega aos terrenos cultivados onde o trigo verdeja e as papoulas,1
entreoccultam as suas manchas rubras. Ergue-se então o Monte das Oliveiras,,1
de um verde acinzentado; da sua macissa ramagem surgem, majestosos, dois,1
altissimos cedros antigos como Babylonia, e em volta dos quaes esvoaça um,1
bando de pombas brancas.,1
Aquelle monte, á esquerda, rude, penhascoso, de côr turva, é o Monte do,1
Escandalo; e chama-se Cedron o riosinho que apparece na linha inferior da,1
encosta, e que, muito calmo e prateado, vae sumir-se alem no Valle de,1
